Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
AMPY,0.585,-7.74325816,-0.0491,Sell,536370,21975876,,-3.1418,230,Energy Minerals
GLOP,2.36,5.82959641,0.13,Sell,629350,112548485,,-1.402,1817,Transportation
ENLC,0.9801,-14.02631579,-0.1599,Sell,4881879,478725925,,-2.383,1355,Industrial Services
PEI,0.9308,-7.84158416,-0.0792,Sell,1889792,79313700,,-0.5318,233,Finance
SMLP,0.5704,-9.46031746,-0.0596,Sell,522952,53396969,,-4.6178,261,Utilities
RAND,2.05,-2.14797136,-0.045,Sell,77925,30043365,,-0.4639,4,Finance
DCP,3.49,-13.82716049,-0.56,Sell,3725289,727071700,,-1.0957,,Industrial Services
NBLX,3.05,-11.5942029,-0.4,Sell,960601,274914800,1.03213068,3.3445,240,Industrial Services
GCI,1.99,-0.99502488,-0.02,Sell,3580701,260701940,,-1.4625,21255,Consumer Services
ROYT,0.2499,4.08163265,0.0098,Sell,304967,9263820,0.73492501,0.3267,,Energy Minerals
WES,3.32,-12.63157895,-0.48,Sell,5275545,1473983720,2.43059997,1.5634,979,Energy Minerals
GEL,3.11,-9.06432749,-0.31,Sell,2212705,381220681,19.476082,0.1756,2200,Industrial Services
ENBL,2.04,-2.85714286,-0.06,Sell,2508361,887822280,2.54514604,0.8251,1735,Industrial Services
PER,0.514,-4.81481481,-0.026,Sell,103754,28350000,1.63984209,0.3293,,Energy Minerals
NGL,2.31,-14.44444444,-0.39,Sell,1956275,296486190,,-2.3075,1300,Industrial Services
AM,2.22,-3.47826087,-0.08,Sell,3978586,1074668700,,-0.687,547,Industrial Services
CEQP,3.8,-21.64948454,-1.05,Sell,2309455,278026198,1.66472163,3.1333,894,Industrial Services
GMLP,3.39,7.27848101,0.23,Sell,302815,239801820,,0.2574,,Transportation
TRGP,6.99,-8.62745098,-0.66,Sell,7457741,1628991540,,-1.4354,2680,Energy Minerals
OMP,4.05,-7.95454545,-0.35,Sell,293797,81247050,1.05507997,4.1728,102,Industrial Services
WPG,1.03,-6.36363636,-0.07,Sell,4504050,205572000,,-0.0525,,Finance
NYMT,1.91,5.52486188,0.1,Sell,27508047,683217000,2.85759394,0.6511,55,Finance
VOC,1.55,3.33333333,0.05,Sell,115583,26350000,2.15827338,0.695,,Energy Minerals
MITT,3.95,-4.81927711,-0.2,Sell,4768931,135908000,1.72851847,2.4026,,Finance
USDP,3.23,-5,-0.17,Sell,213587,93459110,15.73345673,0.2161,,Industrial Services
ARLP,3.6,-4,-0.15,Sell,665027,457902000,1.22593089,3.0589,3602,Energy Minerals
TCRD,2.94,48.48484848,0.96,Buy,5955997,87356220,,-0.7993,,Finance
EQM,10.09,-7.9379562,-0.87,Sell,1510936,2022621220,13.21277878,0.9222,,Industrial Services
PBFX,4.64,-9.72762646,-0.5,Strong Sell,477396,288283200,3.03818418,1.6953,92,Industrial Services
TGS,4.19,-7.30088496,-0.33,Sell,487821,356537000,,1.4219,,Energy Minerals
MVO,2.7,11.57024793,0.28,Sell,44671,27830000,2.3047619,1.05,,Miscellaneous
XAN,2.7,3.05343511,0.08,Sell,2320053,83999800,3.2389665,0.815,,Finance
ICMB,2.44,-8.27067669,-0.22,Sell,70831,33842800,,-0.3332,,Finance
ETRN,4.2,-12.68191268,-0.61,Sell,6427627,1177125600,,-0.799,800,Industrial Services
USAC,5.64,-1.05263158,-0.06,Sell,489307,545111640,,-0.0996,879,Industrial Services
TWO,4.62,1.31578947,0.06,Sell,10623055,1247740000,5.55894185,0.8959,,Finance
DKL,8.93,-6.97916667,-0.67,Sell,159479,218124180,3.68182864,2.608,,Industrial Services
GPP,7.1,33.45864662,1.78,Sell,229602,164443100,3.02702703,1.7575,40,Transportation
ECT,0.3899,-2.525,-0.0101,Sell,23558,7042000,2.81690141,0.142,,Energy Minerals
UAN,1.02,-10.52631579,-0.12,Sell,158896,115548660,,-0.3087,286,Process Industries
ANH,1.31,3.96825397,0.05,Sell,3260189,124639000,,-0.6556,,Finance
WMC,4.02,9.53678474,0.35,Sell,2273361,196433000,2.64428273,1.3879,,Finance
VET,2.7,-6.89655172,-0.2,Sell,1984084,421983000,17.7218426,0.16595334,790,Energy Minerals
CCR,5.91,-8.22981366,-0.53,Sell,39675,163311030,3.97604495,1.6215,,Energy Minerals
NNA,4.4,16.71087533,0.63,Buy,370326,628702800,,-4.891,,Transportation
SVC,6.99,2.49266862,0.17,Sell,2389731,1122310000,4.31454419,1.5812,,Finance
PVL,1.0847,5.31067961,0.0547,Sell,134340,33990000,3.57142857,0.2884,,Energy Minerals
BPT,5.4,1.31332083,0.07,Sell,436159,114062000,2.3861754,2.2337,,Miscellaneous
RTLR,3.45,-8.24468085,-0.31,Sell,717831,150765000,4.20864115,0.9029,712,Industrial Services
CPTA,3.39,2.72727273,0.09,Sell,398541,54979020,,-1.7178,,Finance
TRTX,5.92,2.95652174,0.17,Sell,4302807,439386000,3.33140209,1.726,,Finance
GARS,1.8,-10.44776119,-0.21,Sell,228791,28888200,,-1.1763,,Miscellaneous
