Ticker,Last,Market Capitalization,Price to Earnings Ratio (TTM),Price to Revenue Ratio (TTM),Basic EPS (TTM),EPS Diluted (FY),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding (MRQ)
AMPY,0.585,21975876,,0.12049031,-3.1418,-1.2012,6.20418,545296000,37565600
GLOP,2.36,112548485,,0.28770686,-1.402,-1.4339,7.22648,1998890000,47690036
ENLC,0.9801,478725925,,0.0920895,-2.383,-2.4128,8.9812,9466860000,488446000
PEI,0.9308,79313700,,0.23178715,-0.5318,-0.5202,13.725,2125350000,78528400
SMLP,0.5704,53396969,,0.12487638,-4.6178,-4.837,8.85765,2056330000,93613200
RAND,2.05,30043365,,6.10802712,-0.4639,-0.304,,14956100,14655300
DCP,3.49,727071700,,0.09661037,-1.0957,-1.0451,15.835,11244100000,208330000
NBLX,3.05,274914800,1.03213068,0.31301738,3.3445,3.1815,8.28752,3538200000,90136000
GCI,1.99,260701940,,0.09744886,-1.4625,-1.7709,10.5275,2393380000,131006000
ROYT,0.2499,9263820,0.73492501,0.61345714,0.3267,0.3271,5.01676,84298100,38583158
WES,3.32,1473983720,2.43059997,0.62659222,1.5634,1.5929,10.9032,16932200000,443971000
GEL,3.11,381220681,19.476082,0.16898452,0.1756,0.1757,11.1503,6958800000,122578997
ENBL,2.04,887822280,2.54514604,0.31043576,0.8251,0.8238,8.53835,9175070000,435207000
PER,0.514,28350000,1.63984209,1.26331269,0.3293,0.3293,2.31303,39990000,52500000
NGL,2.31,296486190,,0.01909114,-2.3075,2.0137,11.7415,5611710000,128348999.99999999
AM,2.22,1074668700,,1.37033504,-0.687,-0.8033,11.7878,6686340000,484085000
CEQP,3.8,278026198,1.66472163,0.12681253,3.1333,2.9259,46.1484,5726610000,73164789
GMLP,3.39,239801820,,0.73082883,0.2574,,8.91456,1939270000,70738000
TRGP,6.99,1628991540,,0.20526787,-1.4354,-1.4366,13.8805,20750900000,233046000
OMP,4.05,81247050,1.05507997,0.21913941,4.1728,5.75,4.08912,1105860000,20061000
WPG,1.03,205572000,,0.37524958,-0.0525,-0.05,19.7569,4152399999.999999,186884000
NYMT,1.91,683217000,2.85759394,0.69627964,0.6511,0.641,31.0237,23339600000,377468000
VOC,1.55,26350000,2.15827338,2.01393183,0.695,0.695,6.63427,78383900,17000000
MITT,3.95,135908000,1.72851847,0.86595019,2.4026,2.3849,20.5223,4110050000,32749000.00000001
