Ticker,Last,Dividends Yield (FY),Dividends Paid (FY),Dividends per Share (FY)
AMPY,0.585,105.188446,-15889000,0.4
GLOP,2.36,99.14798,-137953000.001078,2.2
ENLC,0.9801,90.52631,-467200000,1.12
PEI,0.9308,83.16832,-91162000,0.84
SMLP,0.5704,79.36508,-145124000,1.4375
RAND,2.05,77.326965,0,
DCP,3.49,77.03703,-677000000,3.12
NBLX,3.05,75.77971,-785935000,2.5124
GCI,1.99,75.62189,-91936000,1.52
ROYT,0.2499,72.7197,,0.31308
WES,3.32,65,-969073000,2.4505
GEL,3.11,64.327484,-313180000,2.2
ENBL,2.04,62.95238,-600000000,1.297
PER,0.514,57.96296,,0.328
NGL,2.31,57.77778,-236633000,1.56
AM,2.22,53.478264,-496197000,1.0815
CEQP,3.8,51.546394,-232500000,2.4
GMLP,3.39,51.170883,-126599000,1.6168
TRGP,6.99,47.5817,-964800000,3.64
OMP,4.05,45.795456,-66614999.99999999,1.925
WPG,1.03,45.454544,,1
NYMT,1.91,44.1989,-188015000,0.8
VOC,1.55,44,,0.695
MITT,3.95,43.373493,-77578000,1.9
USDP,3.23,43.088234,-41557000,1.455
ARLP,3.6,42.666668,-278425000,2.145
TCRD,2.94,42.42424,-26174000,0.84
EQM,10.09,42.198906,-954358000,4.595
PBFX,4.64,40.466927,-123910000,2.05
TGS,4.19,38.716816,0,
MVO,2.7,38.22314,,1.05
XAN,2.7,38.167942,-37402000,0.95
ICMB,2.44,37.593983,-13550899,1
ETRN,4.2,37.42204,-496608000,1.76
USAC,5.64,36.842102,-242926000,2.1
TWO,4.62,36.622807,-538948000,1.67
DKL,8.93,35.78125,-82014000,3.36
GPP,7.1,35.714283,-45098000,1.9
ECT,0.3899,35.25,,0.235
UAN,1.02,35.08772,-45313000,0.4
ANH,1.31,34.126984,-55537000,0.43
WMC,4.02,33.787464,-62864000,1.24
VET,2.7,33.495148,-301946404.47272027,2.12839792
CCR,5.91,31.832298,-57618000,2.05
NNA,4.4,31.83024,-12359000.0000966,1.2
SVC,6.99,31.671556,-353619000,2.16
PVL,1.0847,31.25796,,0.306462
BPT,5.4,31.050657,,2.233723
RTLR,3.45,30.851065,-778070000,0.34
CPTA,3.39,30.30303,-14884000,0.9996
TRTX,5.92,29.913044,-124610000,1.72
GARS,1.8,29.850748,-13480000,0.84
GECC,3.15,29.467455,-12783000,0.996
NS,7.19,29.05569,-380047000,2.4
MAC,6.18,28.985506,-424272000,3
BHR,1.9,28.828829,-33409000,0.64
AHT,0.7672,28.595259,-86210000,0.3
EFC,6.81,28.571428,-54312000,1.81
TRMT,3.05,28.115015,-4667000,0.77
BSM,4.33,27.713629,-328420000,1.48
MTL/P,0.3583,27.703066,-23414122.6191917,
