Ticker,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM)
AMPY,24.09630875,-5.18117949,-37.80770607,-37.87046071
GLOP,54.12325161,48.92152821,-10.08253239,-10.08253239
ENLC,9.30529105,6.77817339,-16.43951312,-18.53606028
PEI,16.26922627,-15.51471404,-3.89726403,-3.52405476
SMLP,38.76075894,26.58139001,-6.93071534,-83.20210387
RAND,96.79689065,-79.09390549,-79.09390549,-59.73434474
DCP,6.33673737,2.73631841,0.26184865,-1.32233569
NBLX,44.06589135,40.34704619,35.31634722,21.91610799
GCI,36.21348792,3.59460766,-11.09176089,-6.41583717
ROYT,91.90782067,83.41169459,83.48453745,83.48453745
WES,42.88999618,36.48471098,29.89514136,24.11224385
GEL,13.38367959,11.259906,4.05998823,3.86964794
ENBL,27.47961957,21.70516304,13.55298913,13.45108696
PER,95.05369636,81.44913328,77.03756517,77.03756517
NGL,3.84099285,1.67452729,0.55880982,0.66605903
AM,59.70060158,44.98399229,-54.52034653,-42.31159216
CEQP,5.78235937,-2.48498088,10.92981977,9.73170399
GMLP,49.32621841,44.85035975,11.53204384,5.9418926
TRGP,9.16026136,5.92553326,-0.53816103,-2.41077705
OMP,64.39804759,56.71986759,52.47033854,20.76724639
WPG,23.44431293,-9.38493651,0.41990087,0.65023779
NYMT,98.09128943,22.66905342,22.38905555,22.552485
VOC,,93.31217468,93.31217468,93.31217468
MITT,86.7135896,67.54610019,55.03996943,59.9089143
USDP,34.73375801,18.15390301,6.31554867,5.03273034
ARLP,17.72347736,14.00240605,20.73257142,19.98531901
TCRD,46.66357739,-184.3373494,-188.80908248,-190.07568736
EQM,72.90064911,66.11515346,9.9422049,11.24820732
PBFX,53.78910797,47.11532809,31.7945869,29.47809013
TGS,53.33215989,40.57631641,34.87991626,26.41898632
MVO,100.41661369,92.92713312,92.92713312,92.92713312
XAN,93.78555648,24.03272577,25.00483292,25.00483292
ICMB,38.75324396,-33.3982177,-33.3982177,-34.58304928
ETRN,72.64277328,65.71650099,-0.87441006,-12.49771506
USAC,34.31085464,25.08974533,5.91639043,5.60337359
TWO,92.90476481,17.10295673,16.34913177,17.06334826
DKL,25.63631584,21.65590634,16.68077857,10.86917927
GPP,64.76143081,59.83953779,49.78698096,49.33909476
ECT,,62.06991293,60.32123331,60.32123331
UAN,14.00599242,7.61473315,-8.656356,-8.65190251
ANH,94.9550468,-32.75872657,-34.03424304,-34.03424304
WMC,94.53758106,59.66767933,53.29906632,52.28442609
VET,17.50123464,10.45053108,8.07595663,1.87694102
CCR,18.08597488,14.14956169,13.92788237,13.69305517
NNA,64.04573803,17.83754645,-24.41444111,-23.36202373
SVC,20.29762347,6.32062373,11.31836135,11.21474103
PVL,,98.34954225,100.26746786,100.26746786
BPT,,97.78603057,97.78603057,97.54116759
RTLR,52.16463803,49.33601088,47.34973965,15.05719577
CPTA,62.20602166,-111.28547304,-111.28547304,-113.87207051
TRTX,91.05478265,37.1498501,37.1498501,36.78242693
GARS,23.97781158,-164.51641764,-168.90936745,-168.90936745
GECC,76.24391277,-25.89455854,-25.89455854,-26.63208413
NS,31.82155898,25.21299424,-5.8104168,-6.10705679
MAC,24.76838582,8.92180975,12.62382942,11.69780781
BHR,7.87850172,-3.19262674,0.6156867,-0.06136067
AHT,9.54948421,-8.7022572,-9.34353942,-7.58990435
EFC,85.3891221,54.65037206,36.82830502,38.3335295
TRMT,90.58481422,31.28271405,31.28271405,31.28271405
BSM,61.58579152,48.74973619,43.50211861,43.50211861
MTL/P,36.62875555,11.22286023,4.03374778,0.69137157
NRZ,85.35689649,23.27873634,22.02030958,19.15079737
MDRR,13.49720415,-33.70080793,-44.71772311,-35.44651208
OFS,69.20466465,19.64788877,19.64788877,19.64788877
VNOM,66.89912903,64.35021153,61.13726171,15.751963
AI,100,7.12966422,7.12966422,7.12966422
ORC,95.03598436,18.46005204,18.46005204,18.46005204
HMLP,63.97836514,57.19269755,41.71317291,36.29207066
NHTC,73.59883526,-6.77583941,-7.21132785,-7.22936584
PTMN,59.795603,-91.88013265,-114.93067959,-114.93067959
PNNT,,,,
FLMN,75.17053007,54.27165038,50.87565546,20.9368564
GPMT,92.30846941,28.37145963,28.37145963,28.37307601
OXY,21.29694677,5.0094569,0.08646312,-3.55039179
NMM,66.91980545,26.27234147,-10.0570246,-28.23697802
PAA,5.82973103,4.93816042,6.74231508,6.49315562
SOHO,13.61798872,-1.33259857,0.49846402,0.93007878
NRT,89.82202844,88.79326913,88.79326913,88.79326913
ET,14.93839457,13.65832964,9.39575033,6.61797255
CGBD,70.08178349,34.79078514,33.74881097,33.5279518
HEP,51.44272369,49.51865415,43.75864574,42.20978008
FSK,73.66906475,37.98561151,35.39568345,35.39568345
VEON,53.46068141,18.49294464,13.49593481,7.10349983
MPLX,43.30086865,37.62832324,14.66175309,13.59568307
OCCI,69.76363034,-88.6180039,-88.6180039,-88.6180039
PAGP,5.82072526,4.91714697,6.72130163,0.99363593
SACH,99.55569683,60.80718011,54.18249341,54.18249341
BKCC,69.89079463,-13.56430652,-12.93691326,-12.93691326
KRP,45.58079393,17.55875199,-143.06240814,-62.89118667
CLNC,40.62584127,-40.54581182,-84.14556203,-76.31164969
TPVG,74.61451777,43.64400956,43.64400956,43.64400956
PFLT,65.6659574,26.00238078,25.99443205,25.99443205
PRT,,89.13826299,89.14668112,89.14668112
MMLP,10.73746113,5.79871616,0.87663685,1.06252302
SKT,40.83908422,16.4517429,19.46235476,18.15916952
CPLP,37.17516333,32.69302833,19.89426006,19.65964449
GLP,2.23624093,0.94559359,0.2772722,0.26363486
RWT,97.33760869,23.38336846,23.38336846,21.76170605
FDUS,67.43794034,65.16889445,64.64344505,63.82564035
SUN,6.22439142,3.20559171,1.7835623,1.41600386
NCMI,60.70143885,36.7131295,22.27967626,8.11600719
SRLP,6.51188753,1.90283262,0.98694899,0.71644953
MARPS,,70.41980075,70.41952653,70.41952653
CNXM,76.69107284,69.59584299,57.32561144,50.88473726
RC,74.9156897,16.12347662,16.6061692,18.61648723
QEP,26.06532913,16.74680816,-11.63157022,-8.06665561
TCPC,59.57600641,25.79811312,25.79811312,25.79811312
CAPL,4.63402141,1.56892831,0.78374303,0.81617025
BRY,41.09195787,24.30465815,1.16989508,7.28803289
DMLP,74.68495793,66.96150966,66.96150966,64.76224318
KNOP,46.91258823,45.19330837,20.87277258,20.82781715
MRCC,75.44558577,30.80525041,28.5620847,28.5620847
CHMI,84.59385822,-44.5563489,-44.53715121,-31.59717351
CHS,35.04032387,0.10437343,-0.58659142,-0.625848
LADR,86.38741887,27.68507239,27.88716925,24.49206191
CCAP,89.8807795,64.085467,63.87529338,63.09868354
KEN,19.9689983,11.81723088,-13.82936056,-20.63781124
BKEP,13.55539386,9.75691918,4.97884496,4.87104859
AHC,-4.79975917,-4.79975917,10.51487583,6.59016577
CVI,10.59082338,8.7680704,7.71527341,5.97108737
FRO,29.09282352,24.39022607,14.47914077,14.62120373
CLNY,29.22880843,-8.63769473,-67.58703204,-104.79869132
XIN,27.24316923,12.64698554,12.3193053,3.97170113
MDP,55.68431045,11.51592523,4.3831222,3.23087499
ACRE,78.59941934,26.82169877,26.82169877,26.45271092
CDR,35.15373867,5.20515697,1.07792592,0.35655532
CELP,12.26845397,5.88824045,4.89931482,3.98707326
PK,18.19794253,15.21816247,12.45122384,10.81943952
ABR,96.767595,34.73039591,31.04239136,23.44997703
GLOG,50.42526812,44.0416848,-17.53417774,-15.05465596
