Ticker,Basic EPS (FY),Basic EPS (TTM),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY)
AMPY,-1.2012,-3.1418,-3.1418,47304000,19560000,71729000,275575000,-1.2012,275575000,-35197000
GLOP,-1.4339,-1.402,-1.4254,269380000,50821000.0005294,205328000.00160405,378687000.002958,-1.4339,378687000.002958,-37419000.0002923
ENLC,-2.4128,-2.383,-2.3831,1026300000,158600000,561900000,6038500000,-2.4128,6038500000,-1119300000
PEI,-0.5202,-0.5318,-0.5328,151794000,14345000,54271000,333592000,-0.5202,333592000,-11755000
SMLP,-4.837,-4.6178,-4.6178,229350000,47922000,172297000,444748000,-4.837,444748000,-369845000
RAND,-0.304,-0.4639,-0.4639,-2586400,2399956,3719679,3842457,-0.304,3842457,-2289670
DCP,-1.0451,-1.0957,-1.0957,613000000,108000000,484000000,7638000000,-1.0451,7638000000,-101000000
NBLX,3.183,3.3445,3.3426,354719000,81433000,308755000,703801000,3.1815,703801000,146029000
GCI,-1.7709,-1.4625,-1.4625,179025000,257803999.99999997,676434000,1867909000,-1.7709,1867909000,-119842000
ROYT,0.3271,0.3267,0.3267,12596000,3308000,14040000,15121000,0.3271,15121000,12619000
WES,1.5929,1.5634,1.5634,1485430000,320038000,1178120000,2746841000,1.5929,2746841000,662325000
GEL,0.1757,0.1756,0.1756,608546000,84269999.9999999,332025000,2480820000,0.1757,2480820000,95999000
ENBL,0.8257,0.8251,0.8251,1072000000,182000000,809000000,2944000000,0.8238,2944000000,396000000
PER,0.3293,0.3293,0.3293,,4955000,21331000,22442000,0.3293,22442000,17289000
NGL,2.0137,-2.3075,-2.3131,554959000,216131000,485498999.999999,24016907000,2.0137,24016907000,359660000
AM,-0.8033,-0.687,-0.6874,519951000,157014000,501057000,849598000,-0.8033,849598000,-355114000
CEQP,3.1337,3.1333,2.9134,123000000,63300000,169400000,2929600000,2.9259,2929600000,285100000
GMLP,0.2566,0.2574,,217634000,39533000,147807000,299652000,,299652000,17805000
TRGP,-1.4366,-1.4354,-1.4354,1490500000,325100000,794600000.0000011,8677600000,-1.4366,8677600000,-209200000
OMP,5.7523,4.1728,4.1703,264233000,74864000,263781000,410191000,5.75,410191000,115184000
WPG,-0.05,-0.0525,-0.0526,204208000,47028000,152860000,661484000,-0.05,661484000,4274000
NYMT,0.6542,0.6511,0.6334,738604000,208101000,740498000,755202000,0.641,755202000,173736000
VOC,0.695,0.695,0.695,,,,12661799,0.695,12661799,11815000
MITT,2.3857,2.4026,2.4009,203533000,61105000,135853000,147297000,2.3849,147297000,92922000
USDP,0.2162,0.2161,0.2161,41297000,8944000,39477000,113656000,0.2162,113656000,5720000
ARLP,3.0669,3.0589,3.0589,583763000,53760000,347685000,1961720000,3.0669,1961720000,392923000
TCRD,-0.7859,-0.7993,-0.7993,-9740000,3037000,6041000,12948000,-0.7859,12948000,-24610000
EQM,0.5785,0.9222,0.8295,1354260000,302988000,1188457000,1630242000,0.5579,1630242000,183373000
PBFX,1.7119,1.6953,1.6918,198893000,48504000,182997000,340212000,1.7088,340212000,100288000
TGS,1.7088,1.4219,,427454000,99259244.7197859,497769592.597277,1005910765.98445,,1005910765.98445,265246643.383494
MVO,1.05,1.05,1.05,,2714236,13048187,12994052,1.05,12994052,12075000
XAN,0.815,0.815,0.8089,119737000,32326000,135852000,144853000,0.8088,144853000,35966000
ICMB,-1.0669,-0.3332,-0.3332,5739950,7221783,4121190,12414849,-1.0669,12414849,-14542229
ETRN,-0.7994,-0.799,-0.7991,1351960000,302737000,1184253000,1630242000,-0.7994,1630242000,-203743000
USAC,-0.0996,-0.0996,-0.0997,406665000,63351000,239615000,698365000,-0.0996,698365000,39132000
TWO,0.9266,0.8959,0.8203,,241434000,1763875000,1898584000,0.9266,1898584000,323962000
DKL,2.608,2.608,2.6074,158807000,35613000,149477000,591203000,2.6074,591203000,63669000
GPP,1.7575,1.7575,1.7575,52909000,13293000,53288000,82387000,1.7575,82387000,40649000
ECT,0.142,0.142,0.142,,,,4145585,0.142,4145585,2500668
UAN,-0.3087,-0.3087,-0.3087,110616000,-2123000,56606000,404177000,-0.3087,404177000,-34969000
ANH,-0.6543,-0.6556,-0.6672,65891000.00000001,35579000,155245000,163461000,-0.6543,163461000,-55419000
WMC,1.3728,1.3879,1.3879,230604000,102194000,127275000,134629000,1.3728,134629000,70396000
VET,0.16348564,0.16595334,0.16363987,686689030.2679776,57217659.533449,235842683.63215727,1347577405.0510893,0.16202044,1347577405.0510893,25293233.08270677
CCR,1.6213,1.6215,1.6197,92083000,11165000,59150000,327049000,1.6191,327049000,44783000
NNA,-4.7349,-4.891,-4.8971,125121000,58448000.0006089,179403000.001401,280117000.00218797,-4.7349,280117000.00218797,-65441000.00051119
SVC,1.5808,1.5812,1.5807,799969000,115325000,468416000,2316148000,1.5806,2316148000,259750000
PVL,0.2885,0.2884,0.2884,9337160,2531609,10069968,9498646,0.2885,9498646,9519246
BPT,2.2337,2.2337,2.2337,47922000,,,49007000,2.2337,49007000,47802000
RTLR,0.643,0.9029,0.8934,263200000,67556000,233527000,447673000,0.643,447673000,28051000
CPTA,-1.7153,-1.7178,-1.7178,,8887000,15103000,24279000,-1.7153,24279000,-27647000
TRTX,1.7269,1.726,1.726,,76172000,311014000,341568000,1.7269,341568000,125637000
GARS,-1.1763,-1.1763,-1.1763,-3776000,-11809000,2680000,11177000,-1.1763,11177000,-18879000
GECC,-0.7363,-0.7861,-0.7861,,5396000,21606000,28338000,-0.7363,28338000,-7547000
NS,-2.302,-2.31,-2.3101,693045000,153548000,498771000,1498021000,-2.302,1498021000,-105693000
MAC,0.7608,0.7631,0.7631,606448000,64670000,229524000,921135000,0.7608,921135000,107539000
BHR,-0.3232,-0.3241,-0.3898,109921000,2683999.99999999,11725000,454612000,-0.3232,454612000,-295000
AHT,-1.5774,-1.5782,-1.5782,399177000,31170000,144416000,1513754000,-1.5774,1513754000,-114911000
EFC,1.7609,1.7798,1.7798,,44922000,130190000,152535000,1.7609,152535000,57933000
TRMT,0.7766,0.7627,0.7623,11888000,3256000,14018000,15475000,0.7766,15475000,4841000
BSM,0.9388,0.9384,0.9083,350928000,75531000,303480000,492776000,0.9382,492776000,214368000
MTL/P,0.0373,0.0316,0.0316,748839000,350187909.62365603,1668847385.2577899,4583403368.188661,0.0373,4583403368.188661,37230773.19447711
