Ticker,Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Quick Ratio (MRQ),Total Assets (MRQ),Total Debt (MRQ),Total Current Assets (MRQ)
AMPY,0.8608401,0.66657608,289107000,0.8608401,877539000,289432000,52587000
GLOP,0.58558018,1.39435863,1250026000.00275,0.56762502,2396944000.00527,1346910000.00296,109353000.000241
ENLC,0.99582754,1.27707082,4789900000,0.92875908,9689800000,4867300000,644400000
PEI,,4.05458034,1713401000,,2351267000,1733029000,
SMLP,1.6575279,1.86601573,1443615000,1.6575279,2573451000,1475955000,139476000
RAND,,0.20114137,-15028807,,64791449,10786913,
DCP,0.60234244,0.90999548,6003000000,0.57668712,14127000000,6036000000,1080000000
NBLX,0.84622079,1.18840142,1485683000,0.802313,2926082000,1498409000,107927000
GCI,1.08443419,2.01442729,1813755000,1.00775555,4020102000,1980597000,779115000
ROYT,,0,-199000,,199144000,0,
WES,0.82808661,2.38074154,7864316000,0.77797899,12346453000,7964278000,402412000
GEL,1.42739142,1.53534087,3536848000,1.27062179,6608953000,3602553000,593074000
ENBL,0.49871795,0.59589688,4411000000,0.43974359,12285000000,4415000000,389000000
PER,,0,-4698000,,107156000,0,4698000
NGL,0.98509701,1.25805309,3240921000,0.8501748,7242555000,3252929000,1341512000
AM,0.44843112,0.92009802,2891014000,0.44843112,6282878000,2892249000,108558000
CEQP,1.05198435,1.01589657,2327600000,0.9019005,5349300000,2396500000,376400000
GMLP,0.43117346,2.0525882,1243410000,0.42243348,2105612000,1339712000,133299000
TRGP,0.88556018,0.90319548,7443000000,0.79931646,20050700000,7877400000,1658300000
OMP,1.06951891,0.7678738,460110000,1.06951891,1154669000,464278000,89769000
WPG,,3.36494548,3020141000,,4250979000.000001,3061562000,
NYMT,,9.57396932,20989268000,,23483369000,21110880000,
VOC,,0,-326132,,63345900,0,
MITT,,4.07258971,3332447000,,4347817000,3457816000,
USDP,1.10825368,5.59445635,219002000,1.10825368,290545000,229686000,20987000
ARLP,1.6339871,0.63971444,773028000,1.1160308,2586694000,809510000,319585000
TCRD,,0.76279445,169137000,,411898000,175027000,
EQM,0.93355305,1.02919119,5808188000,0.93355305,11815019000,5823948000,294873000
PBFX,1.97461535,7.63305197,767138000,1.97461535,973002000,802104000,94201000
TGS,2.63316735,0.69842715,380365741.42892706,2.5944872,1596739092.31054,560901509.6980441,349740867.738159
MVO,,0,-201736,,12487586,0,
XAN,,3.3655351,1778143000,,2454326000,1872577000,
ICMB,,1.22800556,145251201,,339266271,171377182,
ETRN,1.11684531,1.21072343,6306816000,1.11684531,12041709000,6395138000,375212000
USAC,1.21939538,1.13062916,1874468000,0.7339934,3730407000,1874478000,230923000
TWO,,6.10343557,28720093000,,35921622000,30336919000,
DKL,0.95690097,-5.53772193,831310000,0.59725785,744447000,836855000,33570000
GPP,0.11185916,-2.22161934,168020000,0.11185916,105653000,168281000,17429000
ECT,4.50226749,0,-770833,4.50226749,18553252,0,1509034
UAN,1.72901193,1.53459232,606835000,1.01500046,1137955000,643829000,130594000
ANH,,7.4819338,4166372000.000001,,4938631000,4279307000,
WMC,,7.97141698,4415275000,,5160971000,4499554000,
VET,0.83534994,0.83210975,1551872758.8201272,0.76473895,4523709273.182958,1574257952.573742,268117216.1172161
CCR,0.77299038,0.96328253,203539000,0.58943001,496094000,204082000,53283000
NNA,0.4679568,3.73780317,1129066000.00248,0.44229744,1555955000.00342,1173117000.00258,113217000.000249
SVC,,2.44927606,6056328000,,9033967000,6137587000,
PVL,,0,-90665,,77256621,0,
BPT,,0,-1151000,,1151000,0,
RTLR,1.10788457,0.3803574,413785000,0.92275682,1636625000,424418000,85727000
CPTA,,1.84017608,210233000,,428452000,272554000,
TRTX,,2.88011202,4251890000.000001,,5892870000,4331556000,
