"A.Open","A.High","A.Low","A.Close","A.Volume","A.Adjusted"
67.040001,68.099998,66.82,66.989998,2560600,66.389854
67.660004,68,66.410004,67.949997,4402800,67.341248
68.610001,69.010002,67.889999,68.349998,2289200,67.737671
68.519997,69.68,68.519997,69.160004,2469000,68.540421
69.699997,70.220001,69.330002,69.519997,1547400,68.897186
69.68,70.550003,69.360001,70.290001,1477100,69.660294
72.25,72.599998,69.809998,70.089996,1748200,69.462082
70.080002,70.290001,68.93,70.290001,1546800,69.660294
70.559998,70.709999,69.889999,70.300003,1886900,69.670197
70.309998,70.449997,69.739998,69.970001,1602700,69.343163
70.25,70.599998,69.889999,70.290001,1149200,69.660294
70.800003,72.220001,70.57,71.910004,2350400,71.265778
71.889999,72.730003,71.889999,72.650002,1916700,71.999153
73.220001,73.419998,72.360001,73.32,2077800,72.663147
73.139999,73.540001,72.550003,73.339996,3096200,72.682961
73.330002,73.68,72.260002,73.139999,1251600,72.484764
73.190002,73.629997,72.410004,72.510002,1340400,71.860405
72.639999,73.18,72.040001,72.139999,1583800,71.493721
72.550003,73.279999,72.199997,73.190002,1480200,72.534309
73.260002,74.699997,73.099998,74.669998,3159700,74.001045
75.599998,75.889999,74.919998,75.779999,2753200,75.266418
75.849998,76.18,75.25,75.610001,1877000,75.097565
75.860001,76.93,75.699997,76.800003,1153100,76.27951
76.339996,76.470001,75.300003,75.75,1493100,75.236626
75.529999,75.989998,73.5,73.839996,2217400,73.339561
73.489998,74.080002,73.110001,73.449997,2092200,72.952202
73.580002,73.940002,73.129997,73.370003,1785200,72.872749
73.769997,73.779999,71.480003,71.739998,6562400,71.253792
71.279999,72.269997,70.830002,71.650002,2542400,71.164413
71.019997,71.019997,69.489998,70.550003,3955300,70.071861
70,70.360001,69.330002,69.949997,3067200,69.475922
70.309998,70.559998,69.589996,69.589996,2402300,69.118362
70.010002,70.610001,69.660004,70.129997,2713000,69.654709
70.580002,70.580002,68.599998,68.699997,2694400,68.234398
68.910004,69.470001,68.459999,69.089996,3103300,68.62175
69.400002,70.169998,69.160004,69.889999,3304200,69.416336
69.25,69.580002,68.620003,69.580002,3190400,69.108437
69.75,70.010002,69.550003,69.849998,1904700,69.376602
70.129997,70.190002,69.349998,69.5,2392600,69.028976
69.5,70.5,69.379997,70.370003,2750000,69.893082
69.25,70.18,68.099998,70.150002,2871800,69.674576
70.190002,70.660004,68.919998,69.410004,3846100,68.93959
69.629997,70.68,68.389999,69.209999,2494100,68.740936
69.120003,69.129997,67.559998,68.080002,2803500,67.618599
66.839996,67.169998,65.660004,65.860001,3273100,65.413643
66.410004,67.68,66.040001,67.660004,2436200,67.201454
66.870003,68.269997,66.480003,67.970001,2172900,67.509346
68.43,69.510002,68.099998,69.489998,2014300,69.019051
68.940002,68.940002,67.82,68.639999,1866200,68.174805
68.220001,68.379997,66.5,66.629997,1961900,66.178421
66.910004,68.779999,66.5,67.639999,3164300,67.181587
66.580002,67.019997,65.349998,65.589996,3509700,65.145477
71.940002,72.650002,69.419998,69.589996,6701000,69.118362
69.900002,71.18,68.959999,71.080002,3367100,70.598274
71.93,72.279999,71.5,71.75,2050400,71.263733
71.419998,72.260002,71.099998,71.120003,2171200,70.638008
71.959999,72.330002,71.190002,72.199997,1897400,71.710678
72.449997,72.769997,71.25,71.739998,1644000,71.253792
71.5,71.669998,69.25,69.550003,2990000,69.078644
70.110001,70.639999,68.790001,69.639999,1827300,69.16803
70.050003,70.330002,69.110001,69.480003,2032300,69.009117
69.260002,70.260002,68.809998,69.940002,1674000,69.466003
70.809998,71.290001,70.480003,70.699997,1611200,70.22084
71.449997,72.449997,70.82,71.110001,2356400,70.628067
70.699997,71.040001,69.480003,70.410004,2227800,69.932816
70.940002,71.220001,69.959999,70.860001,1820600,70.379761
71.639999,73.709999,71.639999,73.519997,2997900,73.021729
73.690002,74.370003,73.690002,74.279999,3117600,73.776588
74.389999,74.589996,73.669998,74.18,2996900,73.677261
73.5,75.029999,73.290001,74.769997,2838000,74.26326
75.07,77.010002,75.07,76.989998,2805500,76.468216
77.010002,78.089996,76.709999,77.57,4009800,77.044289
77.589996,78.050003,77.18,77.900002,2673400,77.372047
77.32,77.43,76.459999,77.150002,2874500,76.627136
76.949997,76.970001,76.279999,76.400002,2716800,75.88221
76.360001,77.57,75.75,77.57,1982600,77.044289
77.580002,78.150002,77.32,78.07,1743700,77.540894
78.220001,78.739998,77.910004,77.970001,4605500,77.441574
77.480003,78.389999,77.269997,78.059998,2217000,77.53096
78.290001,78.389999,75.639999,75.970001,4296700,75.455132
76.050003,76.559998,75.160004,76.330002,1739200,75.812698
76.449997,76.959999,76.089996,76.519997,1313300,76.001396
77.019997,77.309998,75.919998,76.389999,1639800,75.872284
76.370003,77.110001,76.330002,76.629997,1684600,76.274406
76.5,76.889999,74.589996,74.839996,2189100,74.492714
74.32,74.540001,72.900002,73.349998,1999400,73.009636
73.379997,73.879997,72.470001,73.870003,1869400,73.527222
74.080002,75.910004,74.059998,75.879997,1260800,75.527893
75.349998,75.690002,74.639999,75.099998,1048000,74.751503
73.970001,73.970001,71.730003,72.489998,3001900,72.153618
73.050003,73.839996,72.639999,73.470001,1499700,73.129074
73.43,74.43,73.43,74,1399900,73.656616
75.550003,76.209999,75.239998,75.300003,1200700,74.950584
75.18,75.800003,74.989998,75.18,829500,74.831139
75.800003,76.360001,75.68,75.75,844900,75.398499
75.300003,75.879997,74.959999,75.269997,2275500,74.920715
75.690002,76.25,74.900002,74.919998,1650000,74.572342
74,74.82,73.769997,74.57,2121900,74.223969
74.879997,75.510002,74.690002,75.480003,1641500,75.129745
75.68,76.330002,74.639999,74.690002,1271800,74.343414
75.019997,75.889999,74.68,74.980003,1778300,74.632065
75.029999,75.110001,74.459999,75,1475100,74.651978
74.699997,75.970001,74.129997,75.389999,835100,75.040161
75.690002,76.559998,75.690002,76.150002,1143900,75.796638
75.050003,76.68,74.940002,76.169998,1113300,75.816544
76.040001,76.150002,75.239998,76.120003,914800,75.766777
76,76.120003,75.099998,75.75,970500,75.398499
76.510002,77.349998,76.32,76.970001,1106300,76.612839
77.68,77.849998,76.730003,76.739998,1010200,76.383896
76.82,76.910004,75.470001,75.550003,2362700,75.199425
75.699997,75.940002,74.940002,75.790001,1355700,75.438309
76.339996,76.379997,75.68,75.910004,860900,75.557755
75.900002,76.650002,75.650002,76.639999,1231500,76.284363
76.25,76.849998,76.129997,76.849998,1149200,76.493385
77,77.550003,76.720001,77.050003,1008400,76.692467
76.82,77.5,76.559998,77.160004,1096000,76.801956
77.209999,77.449997,76.480003,76.760002,1113500,76.403809
76.93,78.309998,76.610001,78.260002,1700400,77.896843
78.139999,78.5,77.5,77.940002,1641200,77.578339
78.169998,79.489998,77.839996,79.290001,1704800,78.922066
79.160004,79.360001,78.209999,78.519997,2429800,78.15564
78.970001,78.970001,77.309998,78.300003,2142200,77.936661
78.610001,79.190002,78.230003,79.120003,1869700,78.752861
79.449997,80.459999,79.300003,80.260002,2640800,79.887566
78.57,81.029999,77.959999,80.949997,5329900,80.574356
81.080002,81.339996,80.690002,81.080002,1628000,80.703758
80.959999,81.239998,80.470001,80.769997,835800,80.395195
80.779999,80.989998,80.019997,80.349998,1775600,79.977142
79.519997,80.110001,79.169998,80.099998,1978200,79.728302
80.300003,81,80.18,80.93,1690900,80.554459
80.889999,81.739998,80.5,81.529999,1900000,81.151672
82.239998,82.419998,81.82,82.209999,1783400,81.828514
82.339996,82.470001,81.550003,81.620003,1913800,81.241257
82.900002,83.800003,82.699997,82.93,3067700,82.545174
82.93,83.470001,82.57,83.419998,1718300,83.032898
83.489998,84.980003,83.169998,84.809998,1920800,84.416451
84.669998,84.739998,83.589996,83.709999,1811200,83.321556
84.470001,84.970001,84,84.449997,1371200,84.058121
84.760002,84.860001,83.779999,83.949997,1653200,83.56044
83.75,84.050003,83.360001,83.43,2025500,83.042854
83.949997,84.669998,83.559998,84.510002,1696000,84.117844
84.940002,85.309998,84.32,85.190002,2287800,84.794685
85.419998,85.440002,84.760002,85.260002,816000,84.864365
85.449997,85.449997,84.980003,85.300003,271900,84.904182
85.309998,85.639999,85.089996,85.449997,649100,85.053474
85.68,85.68,85.110001,85.419998,767700,85.023621
85.339996,85.400002,84.639999,84.900002,742800,84.684486
84.839996,85.339996,84.669998,85.309998,1176200,85.093445
85.900002,86.349998,85.199997,85.949997,1410500,85.731819
84.669998,85.330002,84.5,84.57,1118300,84.355324
84,84.82,83.599998,84.82,1993200,84.604691
83.959999,85.260002,83.940002,85.080002,1684700,84.864029
85.959999,86.470001,85.199997,85.919998,1847600,85.701897
86.459999,87.699997,86.169998,87.269997,1912700,87.04847
87.720001,88.239998,87.32,87.589996,1417000,87.367653
87.809998,88.32,86.739998,87.459999,1630200,87.237984
87.269997,88.209999,86.699997,87.989998,1675200,87.76664
